IU Barcode,Spreadsheet Name,Row,Reason for Failure
30000136704750,AVC_Elements_SendtoDatabase_20180608.csv,537,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704768,AVC_Elements_SendtoDatabase_20180608.csv,538,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136704776,AVC_Elements_SendtoDatabase_20180608.csv,539,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704784,AVC_Elements_SendtoDatabase_20180608.csv,540,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704792,AVC_Elements_SendtoDatabase_20180608.csv,541,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704826,AVC_Elements_SendtoDatabase_20180608.csv,544,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136704834,AVC_Elements_SendtoDatabase_20180608.csv,545,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136704859,AVC_Elements_SendtoDatabase_20180608.csv,547,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136704883,AVC_Elements_SendtoDatabase_20180608.csv,550,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704941,AVC_Elements_SendtoDatabase_20180608.csv,553,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136704958,AVC_Elements_SendtoDatabase_20180608.csv,554,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704966,AVC_Elements_SendtoDatabase_20180608.csv,555,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704974,AVC_Elements_SendtoDatabase_20180608.csv,556,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136704982,AVC_Elements_SendtoDatabase_20180608.csv,557,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136705005,AVC_Elements_SendtoDatabase_20180608.csv,558,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136705039,AVC_Elements_SendtoDatabase_20180608.csv,559,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136705104,AVC_Elements_SendtoDatabase_20180608.csv,560,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136705112,AVC_Elements_SendtoDatabase_20180608.csv,561,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136705120,AVC_Elements_SendtoDatabase_20180608.csv,562,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136705146,AVC_Elements_SendtoDatabase_20180608.csv,563,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136705153,AVC_Elements_SendtoDatabase_20180608.csv,564,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136705161,AVC_Elements_SendtoDatabase_20180608.csv,565,Title mismatch,"SS Title: Texas Star
Filmdb Title: Texas star"
30000136705500,AVC_Elements_SendtoDatabase_20180608.csv,568,Title mismatch,"SS Title: Hoosier Promenade
Filmdb Title: Hoosier promenade"
30000136705518,AVC_Elements_SendtoDatabase_20180608.csv,569,Title mismatch,"SS Title: Take a Little Peek
Filmdb Title: Take a little peek"
30000136705708,AVC_Elements_SendtoDatabase_20180608.csv,570,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136705799,AVC_Elements_SendtoDatabase_20180608.csv,571,Title mismatch,"SS Title: Grapevine Twist
Filmdb Title: Grapevine twist"
30000136702358,AVC_Elements_SendtoDatabase_20180608.csv,590,Title mismatch,"SS Title: Otto: The Phenomenological Perspective
Filmdb Title: Otto: The Psychoanalytic Perspective"
30000136705294,AVC_Elements_SendtoDatabase_20180608.csv,615,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813213,AVC_Elements_SendtoDatabase_20180608.csv,622,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813221,AVC_Elements_SendtoDatabase_20180608.csv,623,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813239,AVC_Elements_SendtoDatabase_20180608.csv,624,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813247,AVC_Elements_SendtoDatabase_20180608.csv,625,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure"
30000136813254,AVC_Elements_SendtoDatabase_20180608.csv,626,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813262,AVC_Elements_SendtoDatabase_20180608.csv,627,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813270,AVC_Elements_SendtoDatabase_20180608.csv,628,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136813288,AVC_Elements_SendtoDatabase_20180608.csv,629,Title mismatch,"SS Title: Exposure Meter: Theory and Use
Filmdb Title: Exposure Meter: Theory And Use"
30000136706136,AVC_Elements_SendtoDatabase_20180608.csv,638,Title mismatch,"SS Title: Northeast Farm Community
Filmdb Title: New England Sea Community"
30000136615675,AVC_Elements_SendtoDatabase_20180608.csv,686,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136615683,AVC_Elements_SendtoDatabase_20180608.csv,687,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136615709,AVC_Elements_SendtoDatabase_20180608.csv,688,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136940594,AVC_Elements_SendtoDatabase_20180608.csv,691,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136940602,AVC_Elements_SendtoDatabase_20180608.csv,692,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136940743,AVC_Elements_SendtoDatabase_20180608.csv,693,Title mismatch,"SS Title: Adaptation in Plants
Filmdb Title: Adaptation in plants"
30000136706102,AVC_Elements_SendtoDatabase_20180608.csv,720,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136706110,AVC_Elements_SendtoDatabase_20180608.csv,721,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136752494,AVC_Elements_SendtoDatabase_20180608.csv,729,Title mismatch,"SS Title: Handmade Materials for Projection
Filmdb Title: Handmade materials for projection"
30000136752502,AVC_Elements_SendtoDatabase_20180608.csv,730,Title mismatch,"SS Title: Handmade Materials for Projection
Filmdb Title: Handmade materials for projection"
30000136752510,AVC_Elements_SendtoDatabase_20180608.csv,731,Title mismatch,"SS Title: Handmade Materials for Projection
Filmdb Title: Handmade materials for projection"
30000136752528,AVC_Elements_SendtoDatabase_20180608.csv,732,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136753344,AVC_Elements_SendtoDatabase_20180608.csv,733,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136753351,AVC_Elements_SendtoDatabase_20180608.csv,734,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136753385,AVC_Elements_SendtoDatabase_20180608.csv,735,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
30000136753393,AVC_Elements_SendtoDatabase_20180608.csv,736,Title mismatch,"SS Title: How to Make Handmade Lantern Slides
Filmdb Title: How To Make Handmade Lantern Slides"
