IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000157706775,,[Untitled],"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","",Sound,"",Magnetic,"","",,,"","","","","","","","",,"",,"","",Rehoused
30000157706825,,[Untitled],"","","","","",Frink Film Studio [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","",Sound,"",Magnetic,"","",,,"","","","","","","","",,"",,"","",Rehoused
30000149830485,,A Matter of Life,"","","","","",American Cancer Society [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",800,,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
30000157706429,,Amex Microstix,"","","","Optical track only. | ""Dub to optical for 16mm reveral [sic] prints from A and B Rolls...""","",Frink Film Studio [TBD],"","","",1973/08/21 [TBD],"","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Positive, Projection Print, B Roll","",400,,,,"","",,"",No,"","",Color,"","","","","","","",,,"","","","","","","","",,"",,"","",Rehoused
30000157706189,,Archway: Sawyer Spectacular,"","","",Tom Sawyer fence painting scene. | Scenes with Archway products.,"",Frink Film Studio [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","","","",Magnetic,"","",,,"","","","","","","",3.0 (place for freezer),,"",,"","",Rehoused
30000149808689,,Brand Fence,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","","",,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
30000149087698,,Dometic overs,"","","","","",Mallard and CO [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",800,,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
30000157700422,,Marsh,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","","",,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
30000157706437,,Miles Lab TV Leaders,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Reversal, Intermediate","",400,,,,"","",,"",No,"","",Color,"","","","","","","",,,"","","","","","","","",,"",,"","",Rehoused
30000157706650,,Miles Lab TV Leaders,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Positive, Reversal","",400,,,,"","",,"",No,"","",Color,"","","","","","","",,,"","","","","","","","",,"",,"","",Rehoused
30000157706197,,Navan Sawyer Spectacular,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Separate Magnetic Track,"",400,,,,"","",,"",No,"","","","","","","",Magnetic,"","",,,"","","","","","","",3.0 (place for freezer),,"",,"","",Rehoused
30000157706205,,Navan Snow Spectacular,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","","","",Magnetic,"","",,,"","","","","","","",3.0 (place for freezer),,"",,"","",Rehoused
30000149089215,,Skamper Test OK Clear,"","","","","","","","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
30000157706924,,Tools of Production,"","","", | Mag track only.,"",Frink Film Studio [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Separate Magnetic Track,"",800,,,,"","",,"",No,"","","","","","","",Magnetic,"","",,,"","","","","","","",3.0 (place for freezer),,"",,"","",Rehoused
30000157706791,,Warrick,"","","","","",Frink Film Studios [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,,,,"","",,"",No,"","","","","","","",Magnetic,"","",,,"","","","","","","",2.5,,"",,"","",Rehoused
30000149807616,,White Rose Gas: Scientist [Alternate],"","","","","",Frink Film Studio [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","","",,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","","",,"",,"","",""
