IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000157598446,,Alka Seltzer: Office,"","","","Secretaries have a headache, take Alkaseltzer and go on a date. Same as 30000157700836 ; 30000157598446 ; 30000157700851 ; 30000157700869","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,0.5,,,,,,
30000157700695,,SMPT Edge Track Test Tape A21 Moth 7 K[ilohertz],"","","","","",Frink Film Studio [TBD],"","","","","",test tape ; edge track,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,,,,,"","",,,No,"",,"","",,Sound,No,"","","",,,,,,,,,,0.5,,,,,,
30000149806675,,DePauw,"","","","","","","","","","","",original | original,"","","","","",Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Separate Magnetic Track, Other","",800,700,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","",2.5,,"",,"","",""
30000161615806,,Zephyr Awnings 1 and 2 Silent,"","","","","",Frink Film Studio [TBD],"","","","","","","","","","","",Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"","",400,100,,,"","",,"",No,"","","","","","","","","","",,,"","","","","","","",1.0,,"",,"","",""
30000161615814,,Kwik Seal,"","","","Longer spot showing housewife using Qwik Seal and narrator warns us of Danger Lines on our tub. Send a dollar to your local station and they will send you Qwik Seal and ""33""","",Frink Film Studio [TBD],"","","","","","","","","","","",Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, Separate Optical Track","",800,200,,,"","",,"",Yes,"","","","","","","","","","",,,"","","","","","","",0.5,,"",,"","",""
30000149784492,,Wheelabrator Steel Shot,"","","","","",Frink Film Studio [TBD],"","","",1962/04/16 [TBD],"","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Separate Magnetic Track, A Roll","",800,650,,,Acetate,"",,"",No,"",24 fps,"","","","","",Magnetic,"","",,,"","","",5 - Possibly Unplayable,Heavy rust in can,"","",3.0 (place for freezer),,"",Rusty: 3 - Heavy () | Rusty: 3 - Heavy (),"","",""
30000149784500,,Wheelabrator Steel Shot,"","","","","",Frink Film Studio [TBD],"","","",1962/04/16 [TBD],"","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Separate Magnetic Track, B Roll","",800,650,,,Acetate,"",,1 of 1,No,"",24 fps,"","","",Sound,"",Magnetic,Composite Track,"",,,"","","",5 - Possibly Unplayable,Heavy rust in can,"","",3.0 (place for freezer),,"",Rusty: 3 - Heavy () | Rusty: 3 - Heavy (),"","",""
30000149784450,,Lorco,"","","","","",Frink Film Studio [TBD],"","","","","",conclusion | cut to 5 min version | Const detail,"","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, Intermediate","",1200,900,,,"","",,"",No,"",24 fps,Color,1.33:1,No,"","","","","",,,"","","","","","","",2.5,,"",,"","",""
30000149784468,,Lorco,"","","","","",Frink Film Studio [TBD],"","","","","",conclusion | cut to 5 min version | Const detail,"","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Separate Magnetic Track,"",1200,900,,,"","",,"",No,"",24 fps,"","","",Sound,"",Magnetic,"","",,,"","","","","","","",3.0 (place for freezer),,"",,"","",""
30000157753900,,[35mm slides],"","","","","",Frink Film Studio [TBD],"","","","","","","","","","","",,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,35mm,"","","",,,,"","",,"",No,"","",Color,"","","","","","","",,,"","","","","","","","",,"",,"","",""
