IU Barcode,MDPI Barcode,Title(s) on Media,Series Title(s),Series Part(s),Country(s) of Origin,Title(s) Summary,Title(s) Original Identifiers,Title(s) Publishers,Title(s) Creators,Title(s) Genres,Title(s) Forms,Title(s) Dates,Title(s) Locations,Title(s) Notes,Title(s) Subject,Title(s) Name Authority,IUCat Title Control Number(s),Catalog Key(s),Alternative Title(s),Media Type,Medium,Version,Unit,Collection,Gauge,Generation,Generation Notes,Can Size,Footage,Duration,Reel Dates,Base,Stock,Original Identifiers,Reel Number,Multiple Items in Can,Picture Type,Frame Rate,Color,Aspect Ratio,Anamorphic,Sound,Captions/Subtitles,Format Type,Content Type,Sound Field,Track Count,Languages,Format Notes,Accompanying Documentation,Accompanying Documentation Location,Overall Condition,Condition Notes,Research Value,Research Value Notes,AD Strip,Shrinkage,Mold,Conditions,Missing Footage,Miscellaneous,Conservation Actions
30000149832580,,Striking Facts About Lightning,"","","","","",Frink Film Studio [TBD],"","","",1957 [TBD],"",Gift to the IUB Libraries from Instructional Support Services,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Reversal, A Roll, Camera Original",,800,,,,"","",Y6710,,No,"",,Color,"",,,No,"","","",,,Anscochrome,"Yes, wrapped in paper ",,,,,,1.0,,,,,,Recanned
30000149832598,,Striking Facts About Lightning,"","","","","",Frink Film Studio [TBD],"","","",1957 [TBD],"",Gift to the IUB Libraries from Instructional Support Services,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Reversal, B Roll, Camera Original",,800,,,,"","",Y6710,,No,"",,Color,"",,,No,"","","",,,Anscochrome,"Yes, wrapped in paper. Also includes Printing and Cleaning Record","Box 6, Folder 049",,,,,1.0,,,,,,Recanned
30000149832713,,Striking Facts About Lightning,"","","","","",Frink Film Studio [TBD],"","","",1957 [TBD],"",Gift to the IUB Libraries from Instructional Support Services,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Outs and Trims,,800,,,,"","",,,No,"",,"","",,,No,"","","",,,IPC Outs,,,,,,,1.0,,,,,,Recanned
30000149832721,,Striking Facts About Lightning,"","","","","",Frink Film Studio [TBD],"","","",1957 [TBD],"",Gift to the IUB Libraries from Instructional Support Services,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,Outs and Trims,,800,,,,"","",,,Yes,"",,"","",,,No,"","","",,,IPC Outs and Misc. Elements,,,,,,,1.0,,,,,3 rolls,Recanned
30000149832762,,Holiday Royal,"","","","","",Frink Film Studio [TBD],"","","","1972/03/21 [TBD], 1972 [TBD]","",Revised | Revised | origina | Revised | Revised | Revised,"","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",FFS-AA.1224,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149832911,,US Rubber - Uniroyal,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,B Roll,,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,"Yes, wrapped in paper",,,,,,1.0,,,,,,Recanned
30000149833109,,Backman foundry,"","","","","",Frink Film Studio [TBD],"","","","1970/12/20 [TBD], 1976/01 [TBD]","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,Elements,,,,,,,1.0,,,,,,Recanned
30000149833208,,Wheelabrator Structural Steel Part 2,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, A Roll",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,"Yes, exposure sheet and 2 timing sheets","Box 6, Folder 052",,,,,1.0,,,,,,Recanned
30000149833216,,Wheelabrator Structural Steel Part 2,"","","","","",Frink Film Studio [TBD],"","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"Negative, Intermediate",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
30000149833240,,Aurora Vertiline LA Fall 76,"","","","","","","","","","","","","","",,,,Moving Image,Film,"","Indiana University, Bloomington. Indiana University Libraries Moving Image Archive.",Frink Film Studios,16mm,"",,800,,,,"","",,,No,"",,"","",,,No,"","","",,,,,,,,,,1.0,,,,,,Recanned
